@relation ALL_AML_SigGene.train

@attribute D26156_s_at numeric
@attribute D49950_at numeric
@attribute L13278_at numeric
@attribute L47738_at numeric
@attribute L49229_f_at numeric
@attribute M11147_at numeric
@attribute M21551_rna1_at numeric
@attribute M28170_at numeric
@attribute M31211_s_at numeric
@attribute M31523_at numeric
@attribute M55150_at numeric
@attribute M62762_at numeric
@attribute M81933_at numeric
@attribute M91432_at numeric
@attribute M92287_at numeric
@attribute S50223_at numeric
@attribute U05259_rna1_at numeric
@attribute U09087_s_at numeric
@attribute U12471_cds1_at numeric
@attribute U22376_cds2_s_at numeric
@attribute U32944_at numeric
@attribute U50136_rna1_at numeric
@attribute U82759_at numeric
@attribute X15949_at numeric
@attribute X17042_at numeric
@attribute X52142_at numeric
@attribute X59417_at numeric
@attribute X74262_at numeric
@attribute X95735_at numeric
@attribute Y12670_at numeric
@attribute Z15115_at numeric
@attribute Class {ALL,AML}

@data
1913,38,36,2147,20,6027,267,20,897,617,680,1870,46,472,6134,441,147,89,195,2853,282,626,306,27,1343,69,6541,953,20,174,2525,ALL
329,20,20,140,20,15280,20,84,334,474,412,1030,44,76,2056,90,2504,37,104,551,277,747,20,20,5252,20,846,209,408,258,1277,ALL
1593,103,170,556,207,6183,268,87,668,1969,548,1482,192,920,10669,545,5075,283,150,4746,2069,706,87,588,2408,269,7743,1624,724,201,6216,ALL
1011,72,188,1483,290,13077,20,155,265,686,1157,892,77,606,1912,570,155,179,135,1534,1613,864,188,307,2525,159,1756,2050,360,180,3382,ALL
1763,158,217,1505,513,8506,64,371,898,2572,387,1306,96,1417,9211,571,5767,314,128,5311,2952,515,99,747,2133,499,7288,1995,938,625,5831,ALL
2065,28,240,904,190,3720,160,360,666,1439,707,593,120,869,3345,235,3649,106,182,4326,3110,825,67,393,1232,260,6084,1625,848,330,5617,ALL
1778,117,254,643,214,12676,363,20,374,989,1822,2376,98,2031,2360,352,218,335,227,7155,2591,1837,20,822,1150,214,2455,3139,926,784,3714,ALL
764,99,32,669,20,9783,333,195,516,1186,738,542,89,954,1316,20,3339,119,157,1178,820,883,102,515,1232,20,1273,882,390,314,1616,ALL
1448,101,200,1137,45,4453,279,285,473,1224,907,809,82,532,2492,84,2696,91,290,3427,1116,1309,432,339,1519,184,6482,1459,615,146,4692,ALL
2191,22,338,3810,312,13988,117,470,1487,4555,860,2475,120,3192,6464,867,8148,268,70,6870,5908,817,359,748,180,326,7629,4253,827,636,11241,ALL
768,48,119,1631,37,2900,152,514,688,2707,92,1514,161,896,524,323,2805,20,39,9177,1143,383,149,201,1912,122,5746,768,68,371,9114,ALL
1323,74,20,857,184,6074,265,95,143,274,686,1977,111,70,3253,241,5397,30,126,4836,108,825,160,48,354,20,699,176,122,180,2572,ALL
1992,43,85,813,93,3729,20,53,376,590,803,672,22,321,3796,493,870,334,74,3085,146,731,366,20,178,142,2443,862,20,780,1601,ALL
1210,168,191,899,424,6023,392,418,531,1823,803,1235,20,992,4093,502,5955,204,205,5815,2457,899,770,598,1687,277,3840,1409,222,655,6110,ALL
738,20,20,223,77,13278,305,391,481,553,842,933,113,363,1689,301,5070,81,144,1872,1081,1171,267,163,3711,20,3878,489,700,402,2242,ALL
2143,117,20,759,20,4718,330,495,647,1909,514,1114,52,636,5204,101,8219,109,98,3265,1480,805,59,169,1750,105,3262,716,433,190,3074,ALL
1245,20,79,899,170,4110,64,219,145,1076,561,20,20,419,2581,20,4184,139,143,2877,1283,1286,20,104,291,109,1810,500,20,273,5374,ALL
302,355,20,20,20,12406,405,20,153,299,1811,3236,179,263,498,56,711,34,293,1126,427,2402,652,35,8518,20,782,279,2947,1807,2271,AML
201,295,20,218,38,7855,327,67,20,389,1406,1125,214,226,165,168,654,48,322,880,288,2137,262,79,3628,20,490,336,1050,1038,1082,AML
667,283,22,20,20,16000,485,20,88,126,1707,4647,179,87,1309,20,20,74,337,473,295,3965,618,71,10603,20,1648,194,4863,1051,2007,AML
697,311,20,20,93,16000,415,20,139,190,2072,3808,330,183,852,20,218,52,417,186,224,2539,805,20,8479,20,528,130,2612,1064,802,AML
721,70,20,201,20,16000,582,20,75,275,1753,3594,407,111,1484,62,251,33,271,680,230,2286,673,64,1285,20,99,51,1671,2538,939,AML
893,297,20,449,20,16000,456,20,300,353,1929,2702,313,323,1283,107,20,91,238,794,384,1641,822,64,7858,20,1203,596,2224,733,1238,AML
624,190,20,65,20,11012,259,35,237,279,1647,1736,243,125,1525,150,412,58,217,1312,179,2545,1137,35,8859,20,1561,309,3348,1296,967,AML
388,326,20,172,60,16000,487,20,100,250,2112,3553,229,158,811,20,343,20,213,485,651,3818,1050,20,11003,20,1628,313,6218,647,1365,AML
432,197,60,239,56,12276,554,20,192,381,1555,3255,132,295,1032,31,272,61,283,408,469,2943,1157,23,5849,20,1784,275,1548,1085,1568,AML
706,259,34,683,88,16000,462,20,339,671,1514,4249,230,368,1024,210,306,50,264,1047,328,2535,1083,59,3259,20,1214,311,3297,1467,1843,AML
736,100,20,153,20,16000,672,20,59,200,2693,1871,282,110,1827,20,20,20,304,335,133,1373,1099,33,8855,20,1583,20,3482,1513,936,AML
